Property,codemeta-V1
codeRepository,codeRepository
programmingLanguage,programmingLanguage
runtimePlatform,
targetProduct,
applicationCategory,
applicationSubCategory,
downloadUrl,downloadLink
fileSize,
installUrl,
memoryRequirements,
operatingSystem,operatingSystems
permissions,
processorRequirements,
releaseNotes,
softwareHelp,
softwareRequirements,depends
softwareVersion,
storageRequirements,
supportingData,
author,agents
citation,relatedLink
contributor,
copyrightHolder,agents [role=copyrightHolder]
copyrightYear,
creator,agent
dateCreated,dateCreated
dateModified,dateModified
datePublished,datePublished
editor,
encoding,
fileFormat,
funder,fundingReference.funderName
keywords,controlledTerms
license,licenseId
producer,
provider,
publisher,publisher
sponsor,
version,version
isAccessibleForFree,
isPartOf,
hasPart,
position,
description,description
identifier,identifier
name,name
sameAs,
url,URL
relatedLink,
givenName,
familyName,
email,email
affiliation,affiliation
identifier,identifier
name,
address,
type,
id,
softwareSuggestions,suggests
maintainer,uploadedBy
contIntegration,contIntegration
buildInstructions,buildInstructions
developmentStatus,developmentStatus
embargoDate,embargoDate
funding,funding
issueTracker,issueTracker
referencePublication,relatedPublications
readme,readme
,relatedIdentifer
,relatedIdentiferType
,relationshipType
,title
,namespace
,role
,roleCode
,softwarePaperCitationIdenifiers
