Property,Type,Description,DataCite,OntoSoft,Zenodo,GitHub,Figshare,Software Ontology,Software Discovery Index,Dublin Core,R Package Description,Debian Package Metadata,Python Distutils (PyPI),Trove Software Map,Perl Module Description (CPAN::Meta),JavaScript package descption (npm),Java (Maven),Octave,Ruby Gem,ASCL
license,CreativeWork  or URL,"A license document that applies to this content, typically indicated by URL.",Rights,License,license,license,License,software license,Software license,license,License,,license,license,license,license,licesnse,License,license/licenses,
producer,Organization  or Person,"The person or organization who produced the work (e.g. music album, movie, tv/radio series etc.).",-,,,,,,,,,,,,,,,,,
provider,Organization  or Person,"The service provider, service operator, or service performer; the goods producer. Another party (a seller) may offer those services or goods on behalf of the provider. A provider may also serve as the seller. Supersedes carrier.",-,,,,,,,,,,,,,,,,,
publisher,Organization  or Person,The publisher of the creative work.,Publisher,,,,,,,,,,,,,,,,,
sponsor,Organization  or Person,"A person or organization that supports a thing through a pledge, promise, or financial contribution. e.g. a sponsor of a Medical Study or a corporate sponsor of an event.",-,,,,,,,,,,,,,,,,,
version,Number  or Text,The version of the CreativeWork embodied by a specified resource.,Version,,,,,,,,,,,,,,,,,
description,Text,A description of the item.,Description,hasShortDescription,description/notes,description,Description,software,,description,Description,Description,"description, long_description",description,"abstract, description",description,description,Description,"summary, Description",abstract
identifier,PropertyValue  or URL,"The identifier property represents any kind of identifier for any kind of Thing, such as ISBNs, GTIN codes, UUIDs etc. Schema.org provides dedicated properties for representing many of these, either as textual strings or as URL (URI) links. See background notes for more details.",-,,,,,,,,,,,,,,,,,
name,Text,The name of the item.,-,,,,,,,,Package,,,,,,,,,
sameAs,URL,"URL of a reference Web page that unambiguously indicates the item's identity. E.g. the URL of the item's Wikipedia page, Wikidata entry, or official website.",-,,,,,,,,,,,,,,,,,
url,URL,URL of the item.,-,,,,,,,,URL,,,,,,,URL,,
depends,SoftwareSourceCode,Required software dependencies,-,hasDependency->Software,,,,,"""Platform, environment, and dependencies""",,"Depends, SystemRequirements",,install_requires,Database Environment,prereqs,dependencies / bundledDependencies / peerDependencies,prerequisites,"Depends, SystemRequirements","requirements, add_runtime_dependency",
suggests,SoftwareSourceCode,"Optional dependencies , e.g. for optional features, code development, etc",-,,,,,,,,Suggests,,,,,devDependencies / optionalDependencies,,BuildDepends,add_development_dependency,
maintainer,Person,Individual responsible for maintaining the software (usually includes an email contact address),-,,,,,,,,Maintainer,,,,,,,,,
contIntegration,URL,link to continuous integration service,-,,,,,,,,,,,,,,ciManagement,,,
licenseId,Text,"Abbreviation for an open source license, ideally an SPDX code. (Compare to schema:license which is @type URL or CreativeWork)",Rights,License,license,license,License,software license,Software license,license,License,,license,license,license,license,licesnse,License,license/licenses,
buildInstructions,URL,link to installation instructions/documentation,-,,,,,,,,,,,,,,,,,
developmentStatus,Text,"Description of development status, e.g. Active, inactive, supsended. See repostatus.org",-,activeDevelopment,,,,,,,,,classifiers['Development Status'],Development Status,release_status,,,,,
embargoDate,Date,"Software may be embargoed from public access until a specified date (e.g. pending publication, 1 year from publication)",-,,,,embargo_date,,,,,,,,,,,,,
funding,Text,Funding source (e.g. specific grant),-,,,,,,,,,,,,,,,,,
packageSystem,Organization or URL,"package distribution system, such as CRAN url, Node registry, etc.  Consider using schema:provider instead?",-,,,,,,,,,,,,,,,,,
issueTracker,URL,link to software bug reporting or issue tracking system,-,,,issues_url,,,,,BugReports,,,,resources.bugtracker,bugs,issuesManagement,Problems,,
relatedPublications,ScholarlyArticle,An academic publication related to the software.,-,,,,,,,,,,,,,,,,,
readme,URL,link to software Readme file,-,,,,,,,,,,,,,,,,,
relationships,codemeta:Relationship,"A DataCite relationship triple of relationshipType, relatedIdentifier, and relatedIdentifierType","RelatedIdentifier(relationType=isPartOf), RelatedIdentifier(relationType=isVariantFormOf), RelatedIdentifier(relationType=isPreviousVersionOf), RelatedIdentifier(relationType=isNextVersionOf)",,,,,,,,,,,,,,,,,
givenName,Text,"Given name. In the U.S., the first name of a Person. This can be used along with familyName instead of the name property",-,,,,,,,,givenName,,,,,,,,,
familyName,Text,"Family name. In the U.S., the last name of an Person. This can be used along with givenName instead of the name property.",-,,,,,,,,familyName,,,,,,,,,
email,Text,Email address,-,,,,,,,,email,,author_email,,email-address,author.email,,,email,email
affiliation,Text,"An organization that this person is affiliated with. For example, a school/university",-,,,,,,,,,,,,,,,,,
"""@id""",URL,"URL identifer, ideally an ORCID ID for individuals, a FundRef ID for funders",nameIdentifier,,ORCID,,ORCID,,,,,,,,,,,,,
name,Text,"The name of an Organization, or if separate given and family names cannot be resolved for a Person",-,,,,name,,,,,,,,author:contact-name,author.name,,,,
