"","Concept","Concept Definition.x","Use Cases.x","CodeMeta Field.x","Zenodo.x","Figshare.x","code.jsonld.x","Software Discovery Index.x","Software Ontology.x","OntoSoft.x","DataCite.x","Software Entities Model (DataCitei/JISC).x","Dublin Core.x","R Package Description.x","Debian Package Metadata.x","GitHub","Concept Definition.y","Use Cases.y","CodeMeta Field.y","Zenodo.y","Figshare.y","code.jsonld.y","Software Discovery Index.y","Software Ontology.y","OntoSoft.y","DataCite.y","Software Entities Model (DataCitei/JISC).y","Dublin Core.y","R Package Description.y","Debian Package Metadata.y","github.x","Python Distutils (PyPI)","Trove Software Map","Perl Module Description (CPAN::Meta)","JavaScript package descption (npm)","Java (Maven)","Octave","Concept Definition","Use Cases","CodeMeta Field","Zenodo","Figshare","code.jsonld","Software Discovery Index","Software Ontology","OntoSoft","DataCite","Software Entities Model (DataCitei/JISC)","Dublin Core","R Package Description","Debian Package Metadata","github.y","ASCL"
"45","CitationCount","A metric indicating the number of times that the software has been cited","6, 4, 3","citationCount",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A metric indicating the number of times that the software has been cited",4612,"citationCount",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A metric indicating the number of times that the software has been cited","3","citationCount",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Funding","The software funding source","3, 4","funding","contributors.Funder",NA,NA,"Associated grants",NA,NA,NA,NA,NA,NA,NA,NA,"The software funding source",4,"funding",NA,NA,NA,"Associated grants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The software funding source","3","funding",NA,NA,NA,"Associated grants",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","RelatedPublications","Publications related to the software","3, 4, 6","relatedPublications","related_identifiers",NA,NA,"Associated publications",NA,NA,NA,NA,NA,NA,NA,NA,"Publications related to the software",3,"relatedPublications",NA,NA,NA,"Associated publications",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Publications related to the software","3","relatedPublications",NA,NA,NA,"Associated publications",NA,NA,NA,NA,NA,NA,NA,NA,"ref_list"
"48","AuthorName",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The name of the author",3456,"name","name","Name","name","-","-",NA,"creatorName",NA,"-","Authors@R person(given, family)","-",NA,NA,NA,"author:contact-name","author.name",NA,NA,"The name of the author","3, 4, 5","name","name","Name","name","-","-",NA,"creatorName",NA,"-","Authors@R person(given, family)","-",NA,"credit"
"49","OperatingSystem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The operating system supported by the software",2378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"classifiers['Operating System']","Operating System","OSNAMES","os",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","L10n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Software is available in these languages",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"classifiers['Natural Language']","Translations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","UserInterface",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The user interface the software supports",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","DevelopmentStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The development status of the software",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"classifiers['Development Status']","Development Status","release_status",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","IntendedAudience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The category of users for the software",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"classifiers['Intended Audience']","Intended Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","dynamic_config",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Perl] A boolean flag indicating whether a Build.PL or Makefile.PL (or similar) must be executed to determine prerequisites.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dynamic_config",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","generated_by",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Perl] This field indicates the tool that was used to create this metadata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"generated_by",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","meta_spec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Perl] This field indicates the version of the CPAN Meta Spec that should be used to interpret the metadata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"meta_spec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","directories.doc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[JavaScript] Markdown files directory for various documentation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","no_index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Perl] This Map describes any files, directories, packages, and namespaces that are private to the packaging or implementation of the distribution and should be ignored by indexing or search tools.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no_index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","provides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Perl]This describes all packages provided by this distribution",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Problems",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Octave] This describes known issues with the code",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DESCRIPTION/Problems",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","IdentiferNamespace",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Authority using this identifier: e.g. doi.org, or cran.r-project.org","1-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","DownloadLink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A URL for the software distribution to download the software",NA,"zippedCode","-","file","-","-","-",NA,"-",NA,"-","-","-",NA,NA
"63","SystemRequirements",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","ViewsCount",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A metric indicating the number of times an individual code record has been visited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"views"
"65","notes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notes for editors' use, such as changes to a record or comments from correspondence with author",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"notes"
"66","topic_id",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"phpBB topic id for ""discuss"" link to the discussion forum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"topic_id"
"67","bibcode",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Generated ADS bibcode",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bibcode"
"68","alias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Short name(s) by which code record can be retrieved; used in place of ascl id (for example, ascl.net/nemo)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"alias"
"69","described_in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Refereed paper in which the code is described (""code paper"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"described_in"
"70","used_in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Refereed paper in which the code is used but not described",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"used_in"
"71","see_also",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Codes that are similar or related to the code; similar in concept to the ""see also"" field in Linux help",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"see_also"
"72","century",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Some ascl_id's are from the 20th century. This is used to order codes by date so for example 9903.001 will come before 1503.001 instead of after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","time_updated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This may be the same as dateModified field above; it is the most recent date the entry in the registry (in this case, the ASCL) was updated. This is used for entities pulling records from the ASCL so they can retrieve only the delta since a date they specify (usually the date of their last pull)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","time_added",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This may be the same as dateCreated field above; it is the date the entry in the registry (in this case, the ASCL) was created.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
